country,year,low availability scenario,medium availability scenario,high availability scenario
AL ,2010,NaN,NaN,NaN
AL ,2020,9.9,24.7,30.5
AL ,2030,10.2,25.9,33.3
AL ,2040,10.7,27.3,36.3
AL ,2050,28.6,28.6,39.4
AT ,2010,NaN,NaN,NaN
AT ,2020,10.7,14.5,30
AT ,2030,10.9,15.2,32.7
AT ,2040,9.3,12.9,28.7
AT ,2050,7.4,10.4,23.7
BE ,2010,NaN,NaN,NaN
BE ,2020,11,14.2,17.7
BE ,2030,15.9,20.7,26.9
BE ,2040,9.5,12.3,16.5
BE ,2050,2.4,3,4.3
BG ,2010,NaN,NaN,NaN
BG ,2020,26.3,51.5,92.8
BG ,2030,22.9,46.8,88.4
BG ,2040,24.4,47.5,92.9
BG ,2050,28.2,52.1,103.7
BH ,2010,NaN,NaN,NaN
BH ,2020,24.4,60.6,74.9
BH ,2030,24.6,62.6,80.5
BH ,2040,24.9,63.2,84.2
BH ,2050,63.6,63.6,87.4
CH ,2010,NaN,NaN,NaN
CH ,2020,NaN,NaN,NaN
CH ,2030,NaN,NaN,NaN
CH ,2040,NaN,NaN,NaN
CH ,2050,NaN,NaN,NaN
CY ,2010,NaN,NaN,NaN
CY ,2020,0.4,0.6,2.2
CY ,2030,0.4,0.7,1.6
CY ,2040,0.4,0.6,1.5
CY ,2050,0.3,0.6,1.4
CZ ,2010,NaN,NaN,NaN
CZ ,2020,10.1,22.5,34.7
CZ ,2030,12.8,25.5,41
CZ ,2040,10.3,26.8,45.2
CZ ,2050,10.1,28.2,49.6
DE ,2010,NaN,NaN,NaN
DE ,2020,59.6,80.4,98.2
DE ,2030,107.4,148.2,188.3
DE ,2040,111.3,153.2,201.7
DE ,2050,115.1,158.1,214.7
DK ,2010,NaN,NaN,NaN
DK ,2020,NaN,0,8.9
DK ,2030,NaN,0,9.3
DK ,2040,NaN,0,8.6
DK ,2050,NaN,NaN,7.7
EE ,2010,NaN,NaN,NaN
EE ,2020,3.1,5.8,7.5
EE ,2030,3,5.6,7.7
EE ,2040,2,3.9,5.4
EE ,2050,0.9,1.9,2.7
ES ,2010,NaN,NaN,NaN
ES ,2020,129,208.9,400.7
ES ,2030,143.5,240.6,486.6
ES ,2040,155.9,253.7,520.2
ES ,2050,172.9,267.5,553.7
FI ,2010,NaN,NaN,NaN
FI ,2020,5,11,17.3
FI ,2030,6.3,12.5,20
FI ,2040,9.8,16.3,26.7
FI ,2050,13.6,20.5,34.2
FR ,2010,NaN,NaN,NaN
FR ,2020,111.7,167.3,208.5
FR ,2030,160.2,240.4,312.9
FR ,2040,156.4,234,316.2
FR ,2050,151.7,226,316
GR ,2010,NaN,NaN,NaN
GR ,2020,8.9,16.3,38.8
GR ,2030,9.6,13.6,27.9
GR ,2040,10.4,14.4,29.8
GR ,2050,11.1,15.2,31.6
HR ,2010,NaN,NaN,NaN
HR ,2020,NaN,NaN,NaN
HR ,2030,NaN,NaN,NaN
HR ,2040,NaN,NaN,NaN
HR ,2050,NaN,NaN,NaN
HU ,2010,NaN,NaN,NaN
HU ,2020,51.2,87.3,120
HU ,2030,51.5,89.9,128.1
HU ,2040,53.4,93.2,137.6
HU ,2050,55.9,96.5,146.9
IE ,2010,NaN,NaN,NaN
IE ,2020,7.3,12.3,16
