country,year,low availability scenario,medium availability scenario,high availability scenario
AL ,2010,NaN,NaN,NaN
AL ,2020,NaN,NaN,NaN
AL ,2030,NaN,NaN,NaN
AL ,2040,NaN,NaN,NaN
AL ,2050,NaN,NaN,NaN
AT ,2010,NaN,NaN,NaN
AT ,2020,4.6,2.3,5.9
AT ,2030,4.7,2.5,6.5
AT ,2040,4,2.1,5.8
AT ,2050,3.2,1.8,4.8
BE ,2010,NaN,NaN,NaN
BE ,2020,5.2,3.7,4.5
BE ,2030,7.6,5.2,6.7
BE ,2040,4.5,3.1,4.1
BE ,2050,1.1,0.7,1
BG ,2010,NaN,NaN,NaN
BG ,2020,9.1,6.7,14.5
BG ,2030,7.9,4.8,11.8
BG ,2040,8.4,5.6,13.7
BG ,2050,9.7,6.5,15.8
BH ,2010,NaN,NaN,NaN
BH ,2020,NaN,NaN,NaN
BH ,2030,NaN,NaN,NaN
BH ,2040,NaN,NaN,NaN
BH ,2050,NaN,NaN,NaN
CH ,2010,NaN,NaN,NaN
CH ,2020,NaN,NaN,NaN
CH ,2030,NaN,NaN,NaN
CH ,2040,NaN,NaN,NaN
CH ,2050,NaN,NaN,NaN
CY ,2010,NaN,NaN,NaN
CY ,2020,NaN,NaN,NaN
CY ,2030,NaN,NaN,NaN
CY ,2040,NaN,NaN,NaN
CY ,2050,NaN,NaN,NaN
CZ ,2010,NaN,NaN,NaN
CZ ,2020,4.7,4,7.2
CZ ,2030,5,5.1,9.1
CZ ,2040,4,7.6,13.3
CZ ,2050,4,10.3,18.1
DE ,2010,NaN,NaN,NaN
DE ,2020,23.7,10.2,12.7
DE ,2030,42.7,18.8,24.4
DE ,2040,44.2,19.5,26.2
DE ,2050,45.7,20.2,28
DK ,2010,NaN,NaN,NaN
DK ,2020,NaN,0,3.7
DK ,2030,NaN,0,3.9
DK ,2040,NaN,0,3.6
DK ,2050,NaN,NaN,3.2
EE ,2010,NaN,NaN,NaN
EE ,2020,2.3,3,3.9
