country,year,low availability scenario,medium availability scenario,high availability scenario
AL ,2010,NaN,NaN,NaN
AL ,2020,2.2,5.4,6.6
AL ,2030,2.2,5.6,7.2
AL ,2040,2.3,5.9,7.9
AL ,2050,6.2,6.2,8.6
AT ,2010,NaN,NaN,NaN
AT ,2020,NaN,NaN,NaN
AT ,2030,NaN,NaN,NaN
AT ,2040,NaN,NaN,NaN
AT ,2050,NaN,NaN,NaN
BE ,2010,NaN,NaN,NaN
BE ,2020,NaN,NaN,NaN
BE ,2030,NaN,NaN,NaN
BE ,2040,NaN,NaN,NaN
BE ,2050,NaN,NaN,NaN
BG ,2010,NaN,NaN,NaN
BG ,2020,NaN,NaN,NaN
BG ,2030,NaN,NaN,NaN
BG ,2040,NaN,NaN,NaN
BG ,2050,NaN,NaN,NaN
BH ,2010,NaN,NaN,NaN
BH ,2020,5.3,13.2,16.3
BH ,2030,5.4,13.6,17.5
BH ,2040,5.4,13.7,18.3
BH ,2050,13.8,13.8,19
CH ,2010,NaN,NaN,NaN
CH ,2020,NaN,NaN,NaN
CH ,2030,NaN,NaN,NaN
CH ,2040,NaN,NaN,NaN
CH ,2050,NaN,NaN,NaN
CY ,2010,NaN,NaN,NaN
CY ,2020,0.2,0.3,0.8
CY ,2030,0.2,0.3,0.7
CY ,2040,0.2,0.3,0.6
CY ,2050,0.1,0.3,0.6
CZ ,2010,NaN,NaN,NaN
CZ ,2020,NaN,NaN,NaN
CZ ,2030,NaN,NaN,NaN
CZ ,2040,NaN,NaN,NaN
CZ ,2050,NaN,NaN,NaN
DE ,2010,NaN,NaN,NaN
DE ,2020,NaN,NaN,NaN
DE ,2030,NaN,NaN,NaN
DE ,2040,NaN,NaN,NaN
DE ,2050,NaN,NaN,NaN
DK ,2010,NaN,NaN,NaN
DK ,2020,NaN,NaN,NaN
DK ,2030,NaN,NaN,NaN
DK ,2040,NaN,NaN,NaN
DK ,2050,NaN,NaN,NaN
EE ,2010,NaN,NaN,NaN
EE ,2020,NaN,NaN,NaN
EE ,2030,NaN,NaN,NaN
EE ,2040,NaN,NaN,NaN
EE ,2050,NaN,NaN,NaN
ES ,2010,NaN,NaN,NaN
ES ,2020,34.3,40.5,75.1
ES ,2030,38.4,44.9,87.8
ES ,2040,41.5,49.5,97.6
ES ,2050,45.9,54.3,107.8
FI ,2010,NaN,NaN,NaN
FI ,2020,NaN,NaN,NaN
FI ,2030,NaN,NaN,NaN
FI ,2040,NaN,NaN,NaN
FI ,2050,NaN,NaN,NaN
FR ,2010,NaN,NaN,NaN
FR ,2020,4.2,2.7,4.6
FR ,2030,6,3.1,5.9
FR ,2040,5.9,3.1,6.1
FR ,2050,5.9,3.1,6.3
GR ,2010,NaN,NaN,NaN
GR ,2020,2.8,3.2,7.2
GR ,2030,2.8,3.7,7.4
GR ,2040,3.1,4,8.3
GR ,2050,3.3,4.4,9.2
HR ,2010,NaN,NaN,NaN
HR ,2020,NaN,NaN,NaN
HR ,2030,NaN,NaN,NaN
HR ,2040,NaN,NaN,NaN
HR ,2050,NaN,NaN,NaN
HU ,2010,NaN,NaN,NaN
HU ,2020,NaN,NaN,NaN
HU ,2030,NaN,NaN,NaN
HU ,2040,NaN,NaN,NaN
HU ,2050,NaN,NaN,NaN
IE ,2010,NaN,NaN,NaN
IE ,2020,NaN,NaN,NaN
IE ,2030,NaN,NaN,NaN
IE ,2040,NaN,NaN,NaN
IE ,2050,NaN,NaN,NaN
IS ,2010,NaN,NaN,NaN
IS ,2020,NaN,NaN,NaN
IS ,2030,NaN,NaN,NaN
IS ,2040,NaN,NaN,NaN
IS ,2050,NaN,NaN,NaN
IT ,2010,NaN,NaN,NaN
IT ,2020,21,11.7,22.1
IT ,2030,19.1,11.1,21.7
IT ,2040,17.8,11,21.8
IT ,2050,16.4,10.8,21.6
LT ,2010,NaN,NaN,NaN
LT ,2020,NaN,NaN,NaN
LT ,2030,NaN,NaN,NaN
LT ,2040,NaN,NaN,NaN
LT ,2050,NaN,NaN,NaN
LU ,2010,NaN,NaN,NaN
LU ,2020,NaN,NaN,NaN
LU ,2030,NaN,NaN,NaN
LU ,2040,NaN,NaN,NaN
LU ,2050,NaN,NaN,NaN
LV ,2010,NaN,NaN,NaN
LV ,2020,NaN,NaN,NaN
LV ,2030,NaN,NaN,NaN
LV ,2040,NaN,NaN,NaN
LV ,2050,NaN,NaN,NaN
ME ,2010,NaN,NaN,NaN
ME ,2020,0.2,0.5,0.6
ME ,2030,0.2,0.5,0.7
ME ,2040,0.2,0.5,0.7
ME ,2050,0.5,0.5,0.8
MK ,2010,NaN,NaN,NaN
MK ,2020,1.3,3.2,4
MK ,2030,1.3,3.4,4.4
MK ,2040,1.4,3.6,4.9
MK ,2050,3.9,3.9,5.4
MT ,2010,NaN,NaN,NaN
MT ,2020,NaN,NaN,NaN
MT ,2030,NaN,NaN,NaN
MT ,2040,NaN,NaN,NaN
MT ,2050,NaN,NaN,NaN
NL ,2010,NaN,NaN,NaN
NL ,2020,NaN,NaN,NaN
NL ,2030,NaN,NaN,NaN
NL ,2040,NaN,NaN,NaN
NL ,2050,NaN,NaN,NaN
NO ,2010,NaN,NaN,NaN
NO ,2020,NaN,NaN,NaN
NO ,2030,NaN,NaN,NaN
NO ,2040,NaN,NaN,NaN
NO ,2050,NaN,NaN,NaN
PL ,2010,NaN,NaN,NaN
PL ,2020,NaN,NaN,NaN
PL ,2030,NaN,NaN,NaN
PL ,2040,NaN,NaN,NaN
PL ,2050,NaN,NaN,NaN
PT ,2010,NaN,NaN,NaN
PT ,2020,2.4,2.9,5.7
PT ,2030,2.3,2.6,5.5
PT ,2040,3,3.7,7.4
PT ,2050,3.7,4.9,9.4
RO ,2010,NaN,NaN,NaN
RO ,2020,NaN,NaN,NaN
RO ,2030,NaN,NaN,NaN
RO ,2040,NaN,NaN,NaN
RO ,2050,NaN,NaN,NaN
RS ,2010,NaN,NaN,NaN
RS ,2020,3,7.5,9.4
RS ,2030,3,7.6,9.8
RS ,2040,2.8,7.1,9.5
RS ,2050,6.6,6.6,9.1
SE ,2010,NaN,NaN,NaN
SE ,2020,NaN,NaN,NaN
SE ,2030,NaN,NaN,NaN
SE ,2040,NaN,NaN,NaN
SE ,2050,NaN,NaN,NaN
SI ,2010,NaN,NaN,NaN
SI ,2020,0.1,0.1,0.2
SI ,2030,0.4,0.2,0.4
SI ,2040,0.3,0.1,0.4
SI ,2050,0.3,0.1,0.3
SK ,2010,NaN,NaN,NaN
SK ,2020,NaN,NaN,NaN
SK ,2030,NaN,NaN,NaN
SK ,2040,NaN,NaN,NaN
SK ,2050,NaN,NaN,NaN
UK ,2010,NaN,NaN,NaN
UK ,2020,NaN,NaN,NaN
UK ,2030,NaN,NaN,NaN
UK ,2040,NaN,NaN,NaN
UK ,2050,NaN,NaN,NaN
